prompt_id,coco_source_image_id,original_coco_caption,generation_prompt,selection_seed
P0012,166664,A big elephant makes its way across the road with onlookers in the car.,"Photorealistic natural camera photograph. A big elephant makes its way across the road with onlookers in the car.. No text, no watermark, realistic lighting and camera detail.",42
P0013,99428,A stack of different electronics devices on a table.,"Photorealistic natural camera photograph. A stack of different electronics devices on a table.. No text, no watermark, realistic lighting and camera detail.",42
P0014,446574,A bathroom has a shower and toilet in it.,"Photorealistic natural camera photograph. A bathroom has a shower and toilet in it.. No text, no watermark, realistic lighting and camera detail.",42
P0015,236592,A dog eyeballing something cooking in the oven.,"Photorealistic natural camera photograph. A dog eyeballing something cooking in the oven.. No text, no watermark, realistic lighting and camera detail.",42
P0016,11122,A gated grassy noel has a shorted stop sign stuck in part of the land.,"Photorealistic natural camera photograph. A gated grassy noel has a shorted stop sign stuck in part of the land.. No text, no watermark, realistic lighting and camera detail.",42
P0017,163117,A crowd of people standing on a field flying kites.,"Photorealistic natural camera photograph. A crowd of people standing on a field flying kites.. No text, no watermark, realistic lighting and camera detail.",42
P0018,515577,A few people on skis skiing on a snowy mountain.,"Photorealistic natural camera photograph. A few people on skis skiing on a snowy mountain.. No text, no watermark, realistic lighting and camera detail.",42
P0019,104612,A broccoli and pasta salad with oil and vinegar dressing.,"Photorealistic natural camera photograph. A broccoli and pasta salad with oil and vinegar dressing.. No text, no watermark, realistic lighting and camera detail.",42
P0020,296284,A display case in a bakery filled with donuts.,"Photorealistic natural camera photograph. A display case in a bakery filled with donuts.. No text, no watermark, realistic lighting and camera detail.",42
P0021,277689,A fancy desert on a table with a number of drinking glasses.,"Photorealistic natural camera photograph. A fancy desert on a table with a number of drinking glasses.. No text, no watermark, realistic lighting and camera detail.",42
P0022,192670,A boy swinging a bat with a catcher in place behind the batter.,"Photorealistic natural camera photograph. A boy swinging a bat with a catcher in place behind the batter.. No text, no watermark, realistic lighting and camera detail.",42
P0023,461751,A man is riding a motorcycle on a city street.,"Photorealistic natural camera photograph. A man is riding a motorcycle on a city street.. No text, no watermark, realistic lighting and camera detail.",42
P0024,357567,A bathroom with matching shower curtain and rug,"Photorealistic natural camera photograph. A bathroom with matching shower curtain and rug. No text, no watermark, realistic lighting and camera detail.",42
P0025,356347,A blue pot of tomato sauce with a wooden ladle.,"Photorealistic natural camera photograph. A blue pot of tomato sauce with a wooden ladle.. No text, no watermark, realistic lighting and camera detail.",42
P0026,70254,A bright green train is pulled up for awaiting customers.,"Photorealistic natural camera photograph. A bright green train is pulled up for awaiting customers.. No text, no watermark, realistic lighting and camera detail.",42
P0027,88250,A couple of baby elephants snugging trunks while standing on a  dirt field..,"Photorealistic natural camera photograph. A couple of baby elephants snugging trunks while standing on a  dirt field... No text, no watermark, realistic lighting and camera detail.",42
P0028,306437,A boy doing a stunt on a skateboard,"Photorealistic natural camera photograph. A boy doing a stunt on a skateboard. No text, no watermark, realistic lighting and camera detail.",42
P0029,11051,A girl pins a bouttoniere on the lapel of her date.,"Photorealistic natural camera photograph. A girl pins a bouttoniere on the lapel of her date.. No text, no watermark, realistic lighting and camera detail.",42
P0030,560011,A black mouse with blue light-up parts is next to a gray keyboard.,"Photorealistic natural camera photograph. A black mouse with blue light-up parts is next to a gray keyboard.. No text, no watermark, realistic lighting and camera detail.",42
P0031,498463,A metallic refrigerator freezer sitting in a kitchen.,"Photorealistic natural camera photograph. A metallic refrigerator freezer sitting in a kitchen.. No text, no watermark, realistic lighting and camera detail.",42
P0032,119445,A baseball player swings his bat while a ball floats above his head towards the catcher and umpire.,"Photorealistic natural camera photograph. A baseball player swings his bat while a ball floats above his head towards the catcher and umpire.. No text, no watermark, realistic lighting and camera detail.",42
P0033,210708,A couple of elephants standing in the water.,"Photorealistic natural camera photograph. A couple of elephants standing in the water.. No text, no watermark, realistic lighting and camera detail.",42
P0034,551794,A man on a motorcycle resting on the side of a country road,"Photorealistic natural camera photograph. A man on a motorcycle resting on the side of a country road. No text, no watermark, realistic lighting and camera detail.",42
P0035,330396,A man and a woman holding stuffed teddy bears near the ocean.,"Photorealistic natural camera photograph. A man and a woman holding stuffed teddy bears near the ocean.. No text, no watermark, realistic lighting and camera detail.",42
P0036,263299,A train going around a curve near the forest.,"Photorealistic natural camera photograph. A train going around a curve near the forest.. No text, no watermark, realistic lighting and camera detail.",42
P0037,140987,A cute little blond girl sitting next to a pizza.,"Photorealistic natural camera photograph. A cute little blond girl sitting next to a pizza.. No text, no watermark, realistic lighting and camera detail.",42
P0038,84362,A toddler and cat are in a living room with open curtains.,"Photorealistic natural camera photograph. A toddler and cat are in a living room with open curtains.. No text, no watermark, realistic lighting and camera detail.",42
P0039,403385,A bathroom looks clean but is missing tile at the shower stall.,"Photorealistic natural camera photograph. A bathroom looks clean but is missing tile at the shower stall.. No text, no watermark, realistic lighting and camera detail.",42
P0040,2923,A couple of birds that are walking in a field.,"Photorealistic natural camera photograph. A couple of birds that are walking in a field.. No text, no watermark, realistic lighting and camera detail.",42
P0041,210032,A bird attempting to bite a piece of sandwich bread.,"Photorealistic natural camera photograph. A bird attempting to bite a piece of sandwich bread.. No text, no watermark, realistic lighting and camera detail.",42
P0042,254814,A busy city intersection clogged with bike traffic,"Photorealistic natural camera photograph. A busy city intersection clogged with bike traffic. No text, no watermark, realistic lighting and camera detail.",42
P0043,50943,A person on a surf board by a big wave.,"Photorealistic natural camera photograph. A person on a surf board by a big wave.. No text, no watermark, realistic lighting and camera detail.",42
P0044,48504,A brown and a gray elephant are in a circus ring and the brown elephant is walking behind the gray elephant as well as two people training them are standing nearby.,"Photorealistic natural camera photograph. A brown and a gray elephant are in a circus ring and the brown elephant is walking behind the gray elephant as well as two people training them are standing nearby.. No text, no watermark, realistic lighting and camera detail.",42
P0045,327605,A woman on skis standing sideways in the snow.,"Photorealistic natural camera photograph. A woman on skis standing sideways in the snow.. No text, no watermark, realistic lighting and camera detail.",42
P0046,576955,A boy on a horse jumps across th water hoe,"Photorealistic natural camera photograph. A boy on a horse jumps across th water hoe. No text, no watermark, realistic lighting and camera detail.",42
P0047,149622,"The birds are sitting next to each other on a tree branch,","Photorealistic natural camera photograph. The birds are sitting next to each other on a tree branch,. No text, no watermark, realistic lighting and camera detail.",42
P0048,15272,A red light is a wonderful contrast to the pink leaves on trees,"Photorealistic natural camera photograph. A red light is a wonderful contrast to the pink leaves on trees. No text, no watermark, realistic lighting and camera detail.",42
P0049,370813,A person that is standing on a skateboard.,"Photorealistic natural camera photograph. A person that is standing on a skateboard.. No text, no watermark, realistic lighting and camera detail.",42
P0050,157124,A white sink placed in the middle of a constructed kitchen.,"Photorealistic natural camera photograph. A white sink placed in the middle of a constructed kitchen.. No text, no watermark, realistic lighting and camera detail.",42
P0051,511321,Scenic boats daily travel the Thames in England.,"Photorealistic natural camera photograph. Scenic boats daily travel the Thames in England.. No text, no watermark, realistic lighting and camera detail.",42
P0052,2261,A boy riding a boogie board in the ocean waves.,"Photorealistic natural camera photograph. A boy riding a boogie board in the ocean waves.. No text, no watermark, realistic lighting and camera detail.",42
P0053,132703,A guy doing tricks on his kate board,"Photorealistic natural camera photograph. A guy doing tricks on his kate board. No text, no watermark, realistic lighting and camera detail.",42
P0054,458255,A girl reading a book in bed with a cat,"Photorealistic natural camera photograph. A girl reading a book in bed with a cat. No text, no watermark, realistic lighting and camera detail.",42
P0055,579091,A close up picture of some food on a plate.,"Photorealistic natural camera photograph. A close up picture of some food on a plate.. No text, no watermark, realistic lighting and camera detail.",42
P0056,537672,A black fridge that is reflecting the room.,"Photorealistic natural camera photograph. A black fridge that is reflecting the room.. No text, no watermark, realistic lighting and camera detail.",42
P0057,419974,A dog sits waiting while his owner cuts some meat.,"Photorealistic natural camera photograph. A dog sits waiting while his owner cuts some meat.. No text, no watermark, realistic lighting and camera detail.",42
P0058,180798,A cell phone on a blue item with tiny holes.,"Photorealistic natural camera photograph. A cell phone on a blue item with tiny holes.. No text, no watermark, realistic lighting and camera detail.",42
P0059,378873,A colorful display of vegetables and produce at a market.,"Photorealistic natural camera photograph. A colorful display of vegetables and produce at a market.. No text, no watermark, realistic lighting and camera detail.",42
P0060,576566,A man flying through the air on top of a skateboard.,"Photorealistic natural camera photograph. A man flying through the air on top of a skateboard.. No text, no watermark, realistic lighting and camera detail.",42
P0061,268375,A baby elephant stands near to four larger adult elephants.,"Photorealistic natural camera photograph. A baby elephant stands near to four larger adult elephants.. No text, no watermark, realistic lighting and camera detail.",42
P0062,23023,A collection of suitcases lined up in front of hotel curtains.,"Photorealistic natural camera photograph. A collection of suitcases lined up in front of hotel curtains.. No text, no watermark, realistic lighting and camera detail.",42
P0063,547886,A group of people are riding horses on a beach.,"Photorealistic natural camera photograph. A group of people are riding horses on a beach.. No text, no watermark, realistic lighting and camera detail.",42
P0064,190307,A female surfer dressed in black riding a small wave.,"Photorealistic natural camera photograph. A female surfer dressed in black riding a small wave.. No text, no watermark, realistic lighting and camera detail.",42
P0065,453040,A large white cake on a small table.,"Photorealistic natural camera photograph. A large white cake on a small table.. No text, no watermark, realistic lighting and camera detail.",42
P0066,370270,A woman with a stick hitting something red and blurry in the air indoors.,"Photorealistic natural camera photograph. A woman with a stick hitting something red and blurry in the air indoors.. No text, no watermark, realistic lighting and camera detail.",42
P0067,252716,A blue frisbee sitting on top of a lush green field.,"Photorealistic natural camera photograph. A blue frisbee sitting on top of a lush green field.. No text, no watermark, realistic lighting and camera detail.",42
P0068,568290,A bus driving down a road by some tall trees and buildings.,"Photorealistic natural camera photograph. A bus driving down a road by some tall trees and buildings.. No text, no watermark, realistic lighting and camera detail.",42
P0069,291861,A Zebra standing in between a group of large rocks,"Photorealistic natural camera photograph. A Zebra standing in between a group of large rocks. No text, no watermark, realistic lighting and camera detail.",42
P0070,36678,A large cathedral and clocktower building sits in front of an ocean with ferry and sailboats riding past.,"Photorealistic natural camera photograph. A large cathedral and clocktower building sits in front of an ocean with ferry and sailboats riding past.. No text, no watermark, realistic lighting and camera detail.",42
P0071,80659,A group of jockeys ride horses on a track.,"Photorealistic natural camera photograph. A group of jockeys ride horses on a track.. No text, no watermark, realistic lighting and camera detail.",42
P0072,181816,A bench that has someone in costume sitting on it.,"Photorealistic natural camera photograph. A bench that has someone in costume sitting on it.. No text, no watermark, realistic lighting and camera detail.",42
P0073,23034,A man riding on the back of a brown horse.,"Photorealistic natural camera photograph. A man riding on the back of a brown horse.. No text, no watermark, realistic lighting and camera detail.",42
P0074,48564,A man standing in the snow while talking on a cell phone.,"Photorealistic natural camera photograph. A man standing in the snow while talking on a cell phone.. No text, no watermark, realistic lighting and camera detail.",42
P0075,570664,A couple of cats sitting on top of a counter.,"Photorealistic natural camera photograph. A couple of cats sitting on top of a counter.. No text, no watermark, realistic lighting and camera detail.",42
P0076,368294,A man sitting at a desk cutting up a cigar.,"Photorealistic natural camera photograph. A man sitting at a desk cutting up a cigar.. No text, no watermark, realistic lighting and camera detail.",42
P0077,433192,A computer laptop is placed on a bed.,"Photorealistic natural camera photograph. A computer laptop is placed on a bed.. No text, no watermark, realistic lighting and camera detail.",42
P0078,176232,A bunch of flowers that are sitting in a vase.,"Photorealistic natural camera photograph. A bunch of flowers that are sitting in a vase.. No text, no watermark, realistic lighting and camera detail.",42
P0079,477805,A man types quickly on a laptop at night.,"Photorealistic natural camera photograph. A man types quickly on a laptop at night.. No text, no watermark, realistic lighting and camera detail.",42
P0080,85195,A plate with an orange cake dessert and a fork.,"Photorealistic natural camera photograph. A plate with an orange cake dessert and a fork.. No text, no watermark, realistic lighting and camera detail.",42
P0081,224222,Three surfers are close together on the waves.,"Photorealistic natural camera photograph. Three surfers are close together on the waves.. No text, no watermark, realistic lighting and camera detail.",42
P0082,309678,A large square pizza sitting on top of a pan.,"Photorealistic natural camera photograph. A large square pizza sitting on top of a pan.. No text, no watermark, realistic lighting and camera detail.",42
P0083,542073,A light pole and street sign in front of a store front.,"Photorealistic natural camera photograph. A light pole and street sign in front of a store front.. No text, no watermark, realistic lighting and camera detail.",42
P0084,438955,A group of people skating around red obstacles.,"Photorealistic natural camera photograph. A group of people skating around red obstacles.. No text, no watermark, realistic lighting and camera detail.",42
P0085,393115,A man has one foot on his skateboard,"Photorealistic natural camera photograph. A man has one foot on his skateboard. No text, no watermark, realistic lighting and camera detail.",42
P0086,469652,A Giraffe looking down in front of a fence.,"Photorealistic natural camera photograph. A Giraffe looking down in front of a fence.. No text, no watermark, realistic lighting and camera detail.",42
P0087,79651,A row of beer bottles and bananas on a wooden counter.,"Photorealistic natural camera photograph. A row of beer bottles and bananas on a wooden counter.. No text, no watermark, realistic lighting and camera detail.",42
P0088,323571,A cloudy sky is shown behind a Hollywood street sign.,"Photorealistic natural camera photograph. A cloudy sky is shown behind a Hollywood street sign.. No text, no watermark, realistic lighting and camera detail.",42
P0089,239717,A guy is posing with a plate of food.,"Photorealistic natural camera photograph. A guy is posing with a plate of food.. No text, no watermark, realistic lighting and camera detail.",42
P0090,11197,A man prepares to cross the street at a crosswalk,"Photorealistic natural camera photograph. A man prepares to cross the street at a crosswalk. No text, no watermark, realistic lighting and camera detail.",42
P0091,376112,A large group of people skiing along a snowy ridge.,"Photorealistic natural camera photograph. A large group of people skiing along a snowy ridge.. No text, no watermark, realistic lighting and camera detail.",42
P0092,370375,A boy with a bat has a batting helmet pulled over his face.,"Photorealistic natural camera photograph. A boy with a bat has a batting helmet pulled over his face.. No text, no watermark, realistic lighting and camera detail.",42
P0093,486573,A clear vase of simple flowers is sitting in a windowsill.,"Photorealistic natural camera photograph. A clear vase of simple flowers is sitting in a windowsill.. No text, no watermark, realistic lighting and camera detail.",42
P0094,46463,A hand holding a sandwich above a plate.,"Photorealistic natural camera photograph. A hand holding a sandwich above a plate.. No text, no watermark, realistic lighting and camera detail.",42
P0095,425227,A being is doing something as of right now that is splendid.,"Photorealistic natural camera photograph. A being is doing something as of right now that is splendid.. No text, no watermark, realistic lighting and camera detail.",42
P0096,505789,A pair of children stand on a fence together.,"Photorealistic natural camera photograph. A pair of children stand on a fence together.. No text, no watermark, realistic lighting and camera detail.",42
P0097,453302,A break room kitchen is shown with two microwaves.,"Photorealistic natural camera photograph. A break room kitchen is shown with two microwaves.. No text, no watermark, realistic lighting and camera detail.",42
P0098,416343,A boy sitting next to a girl holding a big white surfboard.,"Photorealistic natural camera photograph. A boy sitting next to a girl holding a big white surfboard.. No text, no watermark, realistic lighting and camera detail.",42
P0099,402519,A BRIGHT COLORED BIRD IS SITTING ON A BRANCH OF A FULL TREE,"Photorealistic natural camera photograph. A BRIGHT COLORED BIRD IS SITTING ON A BRANCH OF A FULL TREE. No text, no watermark, realistic lighting and camera detail.",42
P0100,192964,A man flying through the air on top of a wooden ramp.,"Photorealistic natural camera photograph. A man flying through the air on top of a wooden ramp.. No text, no watermark, realistic lighting and camera detail.",42
