# SUPERSEDED_BY_PROTOCOL_V1_1 — Midjourney V8.2 replaced by Seedream 5.0 Pro (fal.ai). Retained as historical evidence.
prompt_id,exact_prompt,required_version,required_aspect_ratio,target_filename,target_folder,mode,forbidden,notes
P0011,"Photorealistic natural camera photograph. A boy swings his bat at a baseball game as people watch on the bleachers behind him.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0011.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0012,"Photorealistic natural camera photograph. A big elephant makes its way across the road with onlookers in the car.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0012.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0013,"Photorealistic natural camera photograph. A stack of different electronics devices on a table.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0013.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0014,"Photorealistic natural camera photograph. A bathroom has a shower and toilet in it.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0014.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0015,"Photorealistic natural camera photograph. A dog eyeballing something cooking in the oven.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0015.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0016,"Photorealistic natural camera photograph. A gated grassy noel has a shorted stop sign stuck in part of the land.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0016.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0017,"Photorealistic natural camera photograph. A crowd of people standing on a field flying kites.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0017.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0018,"Photorealistic natural camera photograph. A few people on skis skiing on a snowy mountain.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0018.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0019,"Photorealistic natural camera photograph. A broccoli and pasta salad with oil and vinegar dressing.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0019.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0020,"Photorealistic natural camera photograph. A display case in a bakery filled with donuts.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0020.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0021,"Photorealistic natural camera photograph. A fancy desert on a table with a number of drinking glasses.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0021.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0022,"Photorealistic natural camera photograph. A boy swinging a bat with a catcher in place behind the batter.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0022.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0023,"Photorealistic natural camera photograph. A man is riding a motorcycle on a city street.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0023.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0024,"Photorealistic natural camera photograph. A bathroom with matching shower curtain and rug. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0024.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0025,"Photorealistic natural camera photograph. A blue pot of tomato sauce with a wooden ladle.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0025.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0026,"Photorealistic natural camera photograph. A bright green train is pulled up for awaiting customers.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0026.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0027,"Photorealistic natural camera photograph. A couple of baby elephants snugging trunks while standing on a  dirt field... No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0027.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0028,"Photorealistic natural camera photograph. A boy doing a stunt on a skateboard. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0028.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0029,"Photorealistic natural camera photograph. A girl pins a bouttoniere on the lapel of her date.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0029.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0030,"Photorealistic natural camera photograph. A black mouse with blue light-up parts is next to a gray keyboard.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0030.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0031,"Photorealistic natural camera photograph. A metallic refrigerator freezer sitting in a kitchen.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0031.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0032,"Photorealistic natural camera photograph. A baseball player swings his bat while a ball floats above his head towards the catcher and umpire.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0032.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0033,"Photorealistic natural camera photograph. A couple of elephants standing in the water.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0033.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0034,"Photorealistic natural camera photograph. A man on a motorcycle resting on the side of a country road. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0034.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0035,"Photorealistic natural camera photograph. A man and a woman holding stuffed teddy bears near the ocean.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0035.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0036,"Photorealistic natural camera photograph. A train going around a curve near the forest.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0036.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0037,"Photorealistic natural camera photograph. A cute little blond girl sitting next to a pizza.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0037.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0038,"Photorealistic natural camera photograph. A toddler and cat are in a living room with open curtains.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0038.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0039,"Photorealistic natural camera photograph. A bathroom looks clean but is missing tile at the shower stall.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0039.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0040,"Photorealistic natural camera photograph. A couple of birds that are walking in a field.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0040.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0041,"Photorealistic natural camera photograph. A bird attempting to bite a piece of sandwich bread.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0041.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0042,"Photorealistic natural camera photograph. A busy city intersection clogged with bike traffic. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0042.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0043,"Photorealistic natural camera photograph. A person on a surf board by a big wave.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0043.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0044,"Photorealistic natural camera photograph. A brown and a gray elephant are in a circus ring and the brown elephant is walking behind the gray elephant as well as two people training them are standing nearby.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0044.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0045,"Photorealistic natural camera photograph. A woman on skis standing sideways in the snow.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0045.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0046,"Photorealistic natural camera photograph. A boy on a horse jumps across th water hoe. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0046.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0047,"Photorealistic natural camera photograph. The birds are sitting next to each other on a tree branch,. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0047.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0048,"Photorealistic natural camera photograph. A red light is a wonderful contrast to the pink leaves on trees. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0048.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0049,"Photorealistic natural camera photograph. A person that is standing on a skateboard.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0049.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0050,"Photorealistic natural camera photograph. A white sink placed in the middle of a constructed kitchen.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0050.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0051,"Photorealistic natural camera photograph. Scenic boats daily travel the Thames in England.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0051.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0052,"Photorealistic natural camera photograph. A boy riding a boogie board in the ocean waves.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0052.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0053,"Photorealistic natural camera photograph. A guy doing tricks on his kate board. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0053.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0054,"Photorealistic natural camera photograph. A girl reading a book in bed with a cat. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0054.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0055,"Photorealistic natural camera photograph. A close up picture of some food on a plate.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0055.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0056,"Photorealistic natural camera photograph. A black fridge that is reflecting the room.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0056.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0057,"Photorealistic natural camera photograph. A dog sits waiting while his owner cuts some meat.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0057.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0058,"Photorealistic natural camera photograph. A cell phone on a blue item with tiny holes.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0058.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0059,"Photorealistic natural camera photograph. A colorful display of vegetables and produce at a market.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0059.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0060,"Photorealistic natural camera photograph. A man flying through the air on top of a skateboard.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0060.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0061,"Photorealistic natural camera photograph. A baby elephant stands near to four larger adult elephants.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0061.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0062,"Photorealistic natural camera photograph. A collection of suitcases lined up in front of hotel curtains.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0062.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0063,"Photorealistic natural camera photograph. A group of people are riding horses on a beach.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0063.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0064,"Photorealistic natural camera photograph. A female surfer dressed in black riding a small wave.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0064.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0065,"Photorealistic natural camera photograph. A large white cake on a small table.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0065.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0066,"Photorealistic natural camera photograph. A woman with a stick hitting something red and blurry in the air indoors.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0066.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0067,"Photorealistic natural camera photograph. A blue frisbee sitting on top of a lush green field.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0067.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0068,"Photorealistic natural camera photograph. A bus driving down a road by some tall trees and buildings.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0068.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0069,"Photorealistic natural camera photograph. A Zebra standing in between a group of large rocks. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0069.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0070,"Photorealistic natural camera photograph. A large cathedral and clocktower building sits in front of an ocean with ferry and sailboats riding past.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0070.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0071,"Photorealistic natural camera photograph. A group of jockeys ride horses on a track.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0071.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0072,"Photorealistic natural camera photograph. A bench that has someone in costume sitting on it.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0072.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0073,"Photorealistic natural camera photograph. A man riding on the back of a brown horse.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0073.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0074,"Photorealistic natural camera photograph. A man standing in the snow while talking on a cell phone.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0074.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0075,"Photorealistic natural camera photograph. A couple of cats sitting on top of a counter.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0075.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0076,"Photorealistic natural camera photograph. A man sitting at a desk cutting up a cigar.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0076.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0077,"Photorealistic natural camera photograph. A computer laptop is placed on a bed.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0077.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0078,"Photorealistic natural camera photograph. A bunch of flowers that are sitting in a vase.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0078.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0079,"Photorealistic natural camera photograph. A man types quickly on a laptop at night.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0079.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
P0080,"Photorealistic natural camera photograph. A plate with an orange cake dessert and a fork.. No text, no watermark, realistic lighting and camera detail.",--v 8.2,--ar 1:1,MJ82_P0080.png,data/external_v1/native/ai/midjourney_v82/,standard_normal_generation,no editing; no reference images; no personalization; no style references; no cherry-picking,Authorised Midjourney account/UI only. Do not use unofficial scrapers.
