audit_type,key,n,image_ids,sources,action,distance
phash_candidate,MLLM_STR_Nano-Banana2-fake_230__MLLM_STR_Nano-Banana2-fake_239,2,MLLM_STR_Nano-Banana2-fake_230|MLLM_STR_Nano-Banana2-fake_239,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_TEX_Nano-Banana2-fake_210__MLLM_TEX_Nano-Banana2-fake_42,2,MLLM_TEX_Nano-Banana2-fake_210|MLLM_TEX_Nano-Banana2-fake_42,MLLM|MLLM,record_only_no_auto_exclude,0
phash_candidate,MLLM_STR_Nano-Banana2-fake_255__MLLM_STR_Nano-Banana2-fake_130,2,MLLM_STR_Nano-Banana2-fake_255|MLLM_STR_Nano-Banana2-fake_130,MLLM|MLLM,record_only_no_auto_exclude,4
phash_candidate,MLLM_STR_GPT-Image2-fake_186__MLLM_STR_GPT-Image2-fake_188,2,MLLM_STR_GPT-Image2-fake_186|MLLM_STR_GPT-Image2-fake_188,MLLM|MLLM,record_only_no_auto_exclude,6
phash_candidate,MLLM_STR_Nano-Banana2-fake_27__MLLM_STR_Nano-Banana2-fake_28,2,MLLM_STR_Nano-Banana2-fake_27|MLLM_STR_Nano-Banana2-fake_28,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_STR_Nano-Banana2-fake_4__MLLM_STR_Nano-Banana2-fake_3,2,MLLM_STR_Nano-Banana2-fake_4|MLLM_STR_Nano-Banana2-fake_3,MLLM|MLLM,record_only_no_auto_exclude,0
phash_candidate,MLLM_HYB_Nano-Banana2-fake_162__MLLM_HYB_Nano-Banana2-fake_163,2,MLLM_HYB_Nano-Banana2-fake_162|MLLM_HYB_Nano-Banana2-fake_163,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_STR_Nano-Banana2-fake_29__MLLM_STR_Nano-Banana2-fake_30,2,MLLM_STR_Nano-Banana2-fake_29|MLLM_STR_Nano-Banana2-fake_30,MLLM|MLLM,record_only_no_auto_exclude,0
phash_candidate,MLLM_STR_Nano-Banana2-fake_87__MLLM_STR_Nano-Banana2-fake_306,2,MLLM_STR_Nano-Banana2-fake_87|MLLM_STR_Nano-Banana2-fake_306,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_STR_Nano-Banana2-fake_86__MLLM_STR_Nano-Banana2-fake_254,2,MLLM_STR_Nano-Banana2-fake_86|MLLM_STR_Nano-Banana2-fake_254,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_TEX_Nano-Banana2-fake_119__MLLM_TEX_Nano-Banana2-fake_12,2,MLLM_TEX_Nano-Banana2-fake_119|MLLM_TEX_Nano-Banana2-fake_12,MLLM|MLLM,record_only_no_auto_exclude,2
phash_candidate,MLLM_STR_Nano-Banana2-fake_231__MLLM_STR_Nano-Banana2-fake_239,2,MLLM_STR_Nano-Banana2-fake_231|MLLM_STR_Nano-Banana2-fake_239,MLLM|MLLM,record_only_no_auto_exclude,0
phash_candidate,MLLM_STR_Nano-Banana2-fake_262__MLLM_STR_Nano-Banana2-fake_185,2,MLLM_STR_Nano-Banana2-fake_262|MLLM_STR_Nano-Banana2-fake_185,MLLM|MLLM,record_only_no_auto_exclude,2
