fold,subset,pattern,group,n
3,AI,baseline_correct_selected_wrong,qwen::Seedream-4.5,2
3,AI,baseline_correct_selected_wrong,qwen::HunyuanImage-3.0,2
3,AI,baseline_correct_selected_wrong,qwen::FLUX.2-pro,2
3,AI,baseline_correct_selected_wrong,qwen::GPT-Image-1,1
3,AI,baseline_correct_selected_wrong,tiny::Wukong,1
3,AI,baseline_correct_selected_wrong,TOTAL,12
3,Real,both_wrong,MLLM,44
3,Real,both_wrong,Tiny,44
3,Real,both_wrong,Smartphone,6
3,Real,both_wrong,COCO,1
3,Real,both_wrong,TOTAL,95
3,Real,baseline_wrong_selected_correct,Tiny,15
3,Real,baseline_wrong_selected_correct,MLLM,4
3,Real,baseline_wrong_selected_correct,Smartphone,4
3,Real,baseline_wrong_selected_correct,TOTAL,23
3,Real,baseline_correct_selected_wrong,Smartphone,4
3,Real,baseline_correct_selected_wrong,TOTAL,4
4,AI,both_wrong,qwen::Seedream-5.0,80
4,AI,both_wrong,qwen::Qwen-Image,76
4,AI,both_wrong,qwen::Imagen-4.0,74
4,AI,both_wrong,qwen::Qwen-Image-2.0-pro,74
4,AI,both_wrong,qwen::Imagen-4.0-Ultra,69
4,AI,both_wrong,tiny::Midjourney,22
4,AI,both_wrong,TOTAL,395
4,AI,baseline_wrong_selected_correct,qwen::Imagen-4.0-Ultra,4
4,AI,baseline_wrong_selected_correct,qwen::Qwen-Image-2.0-pro,4
4,AI,baseline_wrong_selected_correct,qwen::Imagen-4.0,2
4,AI,baseline_wrong_selected_correct,qwen::Qwen-Image,2
4,AI,baseline_wrong_selected_correct,qwen::Seedream-5.0,1
4,AI,baseline_wrong_selected_correct,TOTAL,13
4,AI,baseline_correct_selected_wrong,tiny::Midjourney,9
4,AI,baseline_correct_selected_wrong,qwen::Imagen-4.0-Ultra,2
4,AI,baseline_correct_selected_wrong,qwen::Qwen-Image-2.0-pro,2
4,AI,baseline_correct_selected_wrong,qwen::Qwen-Image,1
4,AI,baseline_correct_selected_wrong,qwen::Seedream-5.0,1
4,AI,baseline_correct_selected_wrong,TOTAL,15
4,Real,both_wrong,Tiny,41
4,Real,both_wrong,MLLM,38
4,Real,both_wrong,Smartphone,7
4,Real,both_wrong,COCO,1
4,Real,both_wrong,TOTAL,87
4,Real,baseline_wrong_selected_correct,Tiny,21
4,Real,baseline_wrong_selected_correct,MLLM,6
4,Real,baseline_wrong_selected_correct,Smartphone,3
4,Real,baseline_wrong_selected_correct,TOTAL,30
4,Real,baseline_correct_selected_wrong,Smartphone,1
4,Real,baseline_correct_selected_wrong,Tiny,1
4,Real,baseline_correct_selected_wrong,TOTAL,2
